    YOMVEB,       Fe1, 3,        O3, 1.953, 0.602
    YOMVEB,       Fe1, 3,        N5, 2.170, 0.383
    YOMVEB,       Fe1, 3,        O1, 1.988, 0.547
    HETSEF,       Fe1, 3,        S3, 2.224, 0.784
    HETSEF,       Fe1, 3,       S1B, 2.494, 0.378
    HETSEF,       Fe1, 3,        S1, 2.235, 0.761
    HETSEF,       Fe1, 3,        S4, 2.229, 0.774
    HETSEF,       Fe1, 3,        S2, 2.218, 0.797
    UNAKOJ,       Fe1, 3,        O2, 1.965, 0.582
    UNAKOJ,       Fe1, 3,        O1, 1.932, 0.637
    UNAKOJ,       Fe1, 3,        N1, 2.070, 0.502
    UNAKOJ,       Fe1, 3,        N4, 2.099, 0.464
    UNAKOJ,       Fe1, 3,        N5, 2.243, 0.315
    UNAKOJ,       Fe1, 3,        N6, 2.076, 0.494
    UNAKOJ,       Fe2, 3,        N8, 2.299, 0.270
    UNAKOJ,       Fe2, 3,        N9, 2.096, 0.468
    UNAKOJ,       Fe2, 3,        N2, 2.070, 0.502
    UNAKOJ,       Fe2, 3,        O4, 1.932, 0.637
    UNAKOJ,       Fe2, 3,        O3, 1.958, 0.594
    UNAKOJ,       Fe2, 3,        N7, 2.100, 0.463
    LOBVON,       Fe1, 3,        F1, 2.032, 0.385
    LOBVON,       Fe1, 3,       O7G, 2.019, 0.503
    LOBVON,       Fe1, 3,       O4C, 1.969, 0.576
    LOBVON,       Fe1, 3,       F1D, 2.036, 0.381
    LOBVON,       Fe1, 3,        O9, 1.931, 0.638
    LOBVON,       Fe1, 3,        O2, 1.956, 0.597
    FISTUW,       Fe1, 3,        N1, 1.938, 0.717
    FISTUW,       Fe1, 3,        N2, 2.000, 0.607
    FISTUW,       Fe1, 3,        N3, 1.999, 0.608
    FISTUW,       Fe1, 3,        N4, 1.925, 0.743
    FISTUW,       Fe1, 3,        O2, 1.890, 0.713
    FISTUW,       Fe1, 3,        O1, 1.869, 0.755
  HETCFE01,       Fe1, 3,        S3, 2.337, 0.578
  HETCFE01,       Fe1, 3,        S2, 2.323, 0.600
  HETCFE01,       Fe1, 3,        S1, 2.331, 0.587
  HETCFE01,       Fe1, 3,        S6, 2.341, 0.572
  HETCFE01,       Fe1, 3,        S5, 2.327, 0.594
  HETCFE01,       Fe1, 3,        S4, 2.324, 0.598
    KEHXAW,       Fe1, 3,        N3, 1.936, 0.721
    KEHXAW,       Fe1, 3,        N4, 1.928, 0.737
    KEHXAW,       Fe1, 3,       N3B, 1.936, 0.721
    KEHXAW,       Fe1, 3,       N4B, 1.928, 0.737
    KEHXAW,       Fe1, 3,      Cl1B, 2.260, 0.632
    KEHXAW,       Fe1, 3,       Cl1, 2.260, 0.632
    SIDTAB,       Fe2, 3,       O5*, 2.131, 0.372
    SIDTAB,       Fe2, 3,       O4A, 2.183, 0.323
    SIDTAB,       Fe2, 3,       O5A, 2.181, 0.325
    SIDTAB,       Fe2, 3,       O6A, 2.200, 0.309
    SIDTAB,       Fe2, 3,        O3, 2.069, 0.440
    SIDTAB,       Fe2, 3,      O11A, 2.114, 0.389
    SIDTAB,       Fe1, 3,       O4*, 2.070, 0.439
    SIDTAB,       Fe1, 3,        O2, 2.107, 0.397
    SIDTAB,       Fe1, 3,        O6, 2.090, 0.415
    SIDTAB,       Fe1, 3,       O8A, 2.008, 0.519
    SIDTAB,       Fe1, 3,       O9A, 1.991, 0.543
    SIDTAB,       Fe1, 3,       O2A, 2.137, 0.366
    PARFUJ,       Fe1, 3,        N1, 2.080, 0.489
    PARFUJ,       Fe1, 3,       O2A, 1.982, 0.556
    PARFUJ,       Fe1, 3,       Cl1, 2.139, 0.876
    PARFUJ,       Fe1, 3,        O1, 1.935, 0.632
    PARFUJ,       Fe1, 3,        O2, 2.105, 0.399
    QIWFIL,       Fe1, 3,        O2, 1.968, 0.578
    QIWFIL,       Fe1, 3,        N1, 2.366, 0.226
    QIWFIL,       Fe1, 3,        N3, 2.030, 0.559
    QIWFIL,       Fe1, 3,        O3, 2.068, 0.441
    QIWFIL,       Fe1, 3,        N5, 2.077, 0.493
    QIWFIL,       Fe1, 3,        O1, 1.957, 0.595
    QIWFIL,       Fe2, 3,        N9, 2.050, 0.530
    QIWFIL,       Fe2, 3,        O6, 2.073, 0.435
    QIWFIL,       Fe2, 3,        N2, 2.392, 0.210
    QIWFIL,       Fe2, 3,        O2, 1.981, 0.558
    QIWFIL,       Fe2, 3,        O1, 1.968, 0.578
    QIWFIL,       Fe2, 3,        N7, 2.088, 0.478
    OMAJUH,       Fe2, 3,        O8, 2.039, 0.477
    OMAJUH,       Fe2, 3,        O7, 2.076, 0.431
    OMAJUH,       Fe2, 3,        N1, 2.257, 0.303
    OMAJUH,       Fe2, 3,        O4, 2.056, 0.455
