    BAVYON,       Zn1, 2,        N1, 2.150, 0.358
    BAVYON,       Zn1, 2,        N2, 2.191, 0.321
    BAVYON,       Zn1, 2,       O3B, 2.035, 0.409
    BAVYON,       Zn1, 2,        O2, 2.006, 0.442
    BAVYON,       Zn1, 2,       O4A, 2.026, 0.419
    TUMFEN,       Zn1, 2,        N2, 2.067, 0.448
    TUMFEN,       Zn1, 2,       N11, 2.120, 0.388
    TUMFEN,       Zn1, 2,        N4, 2.113, 0.396
    TUMFEN,       Zn1, 2,        O2, 1.997, 0.453
    TUMFEN,       Zn1, 2,        O1, 2.004, 0.444
    NALGOY,       Zn1, 2,        S3, 2.350, 0.495
    NALGOY,       Zn1, 2,        S2, 2.349, 0.497
    NALGOY,       Zn1, 2,        S1, 2.591, 0.258
    NALGOY,       Zn1, 2,        S4, 2.624, 0.236
    NALGOY,       Zn1, 2,        N1, 2.064, 0.452
    BELDUS,       Zn1, 2,        N1, 2.122, 0.386
    BELDUS,       Zn1, 2,        N2, 2.120, 0.388
    BELDUS,       Zn1, 2,        S1, 2.266, 0.621
    BELDUS,       Zn1, 2,        S2, 2.267, 0.620
    EMIBEI,       Zn1, 2,       O3A, 1.946, 0.520
    EMIBEI,       Zn1, 2,        N1, 2.219, 0.297
    EMIBEI,       Zn1, 2,        N2, 2.077, 0.436
    EMIBEI,       Zn1, 2,        N3, 2.158, 0.350
    EMIBEI,       Zn1, 2,        O1, 1.992, 0.459
  ILONIG01,       Zn1, 2,        N1, 2.064, 0.452
  ILONIG01,       Zn1, 2,        N3, 2.070, 0.444
  ILONIG01,       Zn1, 2,        O4, 1.961, 0.499
  ILONIG01,       Zn1, 2,        O2, 1.986, 0.467
    AGEZAN,       Zn1, 2,        S3, 2.364, 0.477
    AGEZAN,       Zn1, 2,        S2, 2.356, 0.487
    AGEZAN,       Zn1, 2,        S1, 2.350, 0.495
    AGEZAN,       Zn1, 2,       Cl1, 2.241, 0.536
    JEVKUR,       Zn1, 2,        N1, 2.054, 0.464
    JEVKUR,       Zn1, 2,       N2A, 2.300, 0.239
    JEVKUR,       Zn1, 2,      Cl1A, 2.250, 0.523
    JEVKUR,       Zn1, 2,        N2, 2.300, 0.239
    JEVKUR,       Zn1, 2,       Cl1, 2.250, 0.523
    BUQMEG,       Zn1, 2,        N3, 2.185, 0.326
    BUQMEG,       Zn1, 2,        N1, 2.170, 0.339
    BUQMEG,       Zn1, 2,        N2, 2.080, 0.433
    BUQMEG,       Zn1, 2,        O4, 2.234, 0.239
    BUQMEG,       Zn1, 2,        N4, 2.087, 0.425
    BUQMEG,       Zn1, 2,        O1, 2.082, 0.360
    JODTIG,       Zn1, 2,       O4B, 2.149, 0.300
    JODTIG,       Zn1, 2,       O1B, 1.977, 0.478
    JODTIG,       Zn1, 2,        O4, 2.149, 0.300
    JODTIG,       Zn1, 2,       O2B, 2.157, 0.294
    JODTIG,       Zn1, 2,        O2, 2.157, 0.294
    JODTIG,       Zn1, 2,        O1, 1.977, 0.478
    JIHROH,       Zn1, 2,       N2B, 2.211, 0.304
    JIHROH,       Zn1, 2,       N2F, 2.211, 0.304
    JIHROH,       Zn1, 2,       N1A, 2.120, 0.388
    JIHROH,       Zn1, 2,       N1D, 2.120, 0.388
    JIHROH,       Zn1, 2,       N1E, 2.120, 0.388
    JIHROH,       Zn1, 2,        N1, 2.120, 0.388
    XOBXUI,       Zn1, 2,        N1, 2.121, 0.387
    XOBXUI,       Zn1, 2,        N3, 2.118, 0.390
    XOBXUI,       Zn1, 2,        O4, 1.972, 0.485
    XOBXUI,       Zn1, 2,        N4, 2.142, 0.366
    XOBXUI,       Zn1, 2,        O1, 1.966, 0.493
    PIKFOF,       Zn1, 2,       N2B, 2.015, 0.516
    PIKFOF,       Zn1, 2,        N2, 2.015, 0.516
    PIKFOF,       Zn1, 2,       O2B, 2.019, 0.427
    PIKFOF,       Zn1, 2,        O2, 2.019, 0.427
    NABFAZ,       Zn1, 2,        N1, 2.006, 0.528
    NABFAZ,       Zn1, 2,       Cl1, 2.339, 0.411
    NABFAZ,       Zn1, 2,       Cl2, 2.208, 0.586
    NABFAZ,       Zn1, 2,      Cl1A, 2.394, 0.354
    AQOWUZ,       Zn1, 2,       O5B, 2.092, 0.350
    AQOWUZ,       Zn1, 2,       O4B, 2.072, 0.370
    AQOWUZ,       Zn1, 2,       O1B, 2.115, 0.329
    AQOWUZ,       Zn1, 2,        O5, 2.092, 0.350
    AQOWUZ,       Zn1, 2,        O4, 2.072, 0.370
    AQOWUZ,       Zn1, 2,        O1, 2.115, 0.329
    TAMLOK,       Zn1, 2,        N1, 2.054, 0.464
    TAMLOK,       Zn1, 2,        N2, 2.047, 0.473
    TAMLOK,       Zn1, 2,       Br2, 2.389, 0.524
    TAMLOK,       Zn1, 2,       Br1, 2.350, 0.582
    EFOSIB,       Zn2, 2,        N1, 2.021, 0.507
    EFOSIB,       Zn2, 2,        O4, 1.922, 0.555
    EFOSIB,       Zn2, 2,        O3, 2.006, 0.442
    EFOSIB,       Zn2, 2,        O2, 1.951, 0.513
    WAHJUM,       Zn1, 2,        N1, 2.104, 0.405
    WAHJUM,       Zn1, 2,        N2, 2.237, 0.283
    WAHJUM,       Zn1, 2,        N3, 2.103, 0.407
    WAHJUM,       Zn1, 2,        N4, 2.173, 0.336
    WAHJUM,       Zn1, 2,        O2, 1.997, 0.453
    WAHJUM,       Zn1, 2,        O1, 2.019, 0.427
    CAQXOJ,       Zn5, 2,        O6, 2.123, 0.322
    CAQXOJ,       Zn5, 2,        O5, 2.159, 0.292
