    AWIDAM,       Fe4, 2,       Br3, 2.495, 0.530
    AWIDAM,       Fe4, 2,       Br2, 2.470, 0.567
    AWIDAM,       Fe4, 2,       Br1, 2.458, 0.586
    KAGLIO,       Fe1, 2,        N1, 2.174, 0.335
    KAGLIO,       Fe1, 2,        N2, 2.314, 0.229
    KAGLIO,       Fe1, 2,        N3, 2.180, 0.329
    KAGLIO,       Fe1, 2,        N4, 2.247, 0.275
    KAGLIO,       Fe1, 2,       Cl1, 2.380, 0.421
    KAGLIO,       Fe1, 2,       Cl2, 2.412, 0.386
    WILNIP,       Fe1, 2,       N1A, 2.208, 0.305
    WILNIP,       Fe1, 2,       N1B, 2.208, 0.305
    WILNIP,       Fe1, 2,       N6E, 2.217, 0.298
    WILNIP,       Fe1, 2,       N6D, 2.217, 0.298
    WILNIP,       Fe1, 2,       N6C, 2.217, 0.298
    WILNIP,       Fe1, 2,        N1, 2.208, 0.305
    TUQKAR,       Fe1, 2,        N3, 2.240, 0.280
    TUQKAR,       Fe1, 2,        N1, 2.313, 0.230
    TUQKAR,       Fe1, 2,        N2, 2.262, 0.264
    TUQKAR,       Fe1, 2,        O4, 2.111, 0.329
    TUQKAR,       Fe1, 2,        O2, 2.088, 0.350
    TUQKAR,       Fe1, 2,        O1, 1.819, 0.725
    SISKUA,       Fe2, 2,        N5, 2.114, 0.394
    SISKUA,       Fe2, 2,        O8, 2.070, 0.368
    SISKUA,       Fe2, 2,        O6, 2.105, 0.335
    SISKUA,       Fe2, 2,        O2, 2.033, 0.407
    SISKUA,       Fe2, 2,        O1, 1.794, 0.776
    SISKUA,       Fe2, 2,        N7, 2.187, 0.323
    ALAXIU,       Fe1, 2,        N1, 2.097, 0.412
    ALAXIU,       Fe1, 2,        N2, 2.140, 0.367
    ALAXIU,       Fe1, 2,        P1, 3.121, 0.100
    ALAXIU,       Fe1, 2,       Cl1, 2.279, 0.553
    ALAXIU,       Fe1, 2,       Cl2, 2.253, 0.594
    DUKXUC,       Fe2, 2,        N8, 2.212, 0.302
    DUKXUC,       Fe2, 2,        O4, 2.060, 0.378
    DUKXUC,       Fe2, 2,        O3, 2.057, 0.381
    DUKXUC,       Fe2, 2,        N5, 2.225, 0.292
    DUKXUC,       Fe2, 2,        N6, 2.238, 0.282
    DUKXUC,       Fe2, 2,        N7, 2.202, 0.310
    BEQYUS,      Fe13, 2,       O39, 2.146, 0.300
    BEQYUS,      Fe13, 2,       N17, 2.129, 0.378
    BEQYUS,      Fe13, 2,       O26, 2.077, 0.361
    BEQYUS,      Fe13, 2,       O27, 2.173, 0.278
    BEQYUS,      Fe13, 2,       O35, 2.027, 0.413
    BEQYUS,      Fe13, 2,       N23, 2.336, 0.216
    DUKXUC,       Fe1, 2,        N1, 2.255, 0.269
    DUKXUC,       Fe1, 2,        N2, 2.219, 0.296
    DUKXUC,       Fe1, 2,        N3, 2.227, 0.290
    DUKXUC,       Fe1, 2,        N4, 2.211, 0.303
    DUKXUC,       Fe1, 2,        O2, 2.055, 0.383
    DUKXUC,       Fe1, 2,        O1, 2.052, 0.386
  WAHMOI01,       Fe1, 2,       N12, 2.140, 0.367
  WAHMOI01,       Fe1, 2,       N13, 2.137, 0.370
  WAHMOI01,       Fe1, 2,       N10, 2.128, 0.379
  WAHMOI01,       Fe1, 2,        N8, 2.236, 0.283
  WAHMOI01,       Fe1, 2,        N2, 2.259, 0.266
  WAHMOI01,       Fe1, 2,       N4B, 2.172, 0.336
  WAHMOI01,       Fe2, 2,      N11B, 2.144, 0.363
  WAHMOI01,       Fe2, 2,        N9, 2.135, 0.372
  WAHMOI01,       Fe2, 2,        N1, 2.134, 0.373
  WAHMOI01,       Fe2, 2,        N5, 2.245, 0.276
  WAHMOI01,       Fe2, 2,        N6, 2.242, 0.278
  WAHMOI01,       Fe2, 2,        N7, 2.135, 0.372
  BOKSOK01,       Fe1, 2,        N8, 2.050, 0.468
  BOKSOK01,       Fe1, 2,       N1A, 2.053, 0.464
  BOKSOK01,       Fe1, 2,       N8A, 2.050, 0.468
  BOKSOK01,       Fe1, 2,       N6A, 1.980, 0.565
  BOKSOK01,       Fe1, 2,        N1, 2.053, 0.464
  BOKSOK01,       Fe1, 2,        N6, 1.980, 0.565
    LUGXAN,       Fe1, 2,       N10, 2.153, 0.354
    LUGXAN,       Fe1, 2,        N8, 2.193, 0.318
    LUGXAN,       Fe1, 2,        N2, 2.180, 0.329
    LUGXAN,       Fe1, 2,        N3, 2.216, 0.299
    LUGXAN,       Fe1, 2,        N5, 2.126, 0.381
    LUGXAN,       Fe1, 2,        N7, 2.190, 0.321
  BOKSOK01,       Fe2, 2,       N10, 2.097, 0.412
  BOKSOK01,       Fe2, 2,      N10A, 2.097, 0.412
  BOKSOK01,       Fe2, 2,       N2A, 2.174, 0.335
  BOKSOK01,       Fe2, 2,       N4A, 2.217, 0.298
  BOKSOK01,       Fe2, 2,        N2, 2.174, 0.335
  BOKSOK01,       Fe2, 2,        N4, 2.217, 0.298
    HAJGAB,       Fe1, 2,       N2A, 2.159, 0.349
    HAJGAB,       Fe1, 2,       N1A, 2.180, 0.329
    HAJGAB,       Fe1, 2,        N1, 2.180, 0.329
    HAJGAB,       Fe1, 2,        N2, 2.159, 0.349
    HAJGAB,       Fe1, 2,       Cl1, 2.409, 0.389
    HAJGAB,       Fe1, 2,      Cl1A, 2.409, 0.389
    TIRVOG,       Fe1, 2,        N1, 2.060, 0.455
    TIRVOG,       Fe1, 2,        N3, 2.060, 0.455
    TIRVOG,       Fe1, 2,       Cl1, 2.262, 0.579
    TIRVOG,       Fe1, 2,       Cl2, 2.263, 0.578
    DORPIJ,       Fe1, 2,        S3, 2.524, 0.340
    DORPIJ,       Fe1, 2,        S2, 2.523, 0.341
    DORPIJ,       Fe1, 2,        S1, 2.535, 0.330
    DORPIJ,       Fe1, 2,        N2, 2.150, 0.357
    DORPIJ,       Fe1, 2,        N3, 2.180, 0.329
    DORPIJ,       Fe1, 2,        N5, 2.155, 0.352
    GAYBUF,       Fe1, 2,       N3A, 2.160, 0.348
    GAYBUF,       Fe1, 2,       N2A, 2.153, 0.354
    GAYBUF,       Fe1, 2,       N1A, 2.196, 0.315
    GAYBUF,       Fe1, 2,        N1, 2.196, 0.315
    GAYBUF,       Fe1, 2,        N2, 2.153, 0.354
    GAYBUF,       Fe1, 2,        N3, 2.160, 0.348
    BEQYUS,      Fe17, 2,       O31, 2.050, 0.388
    BEQYUS,      Fe17, 2,       O30, 2.173, 0.278
    BEQYUS,      Fe17, 2,       N21, 2.142, 0.365
    BEQYUS,      Fe17, 2,       O43, 2.147, 0.299
    BEQYUS,      Fe17, 2,       N26, 2.435, 0.165
