    FIWREJ,       Na1, 1,        O4, 2.534, 0.139
    FIWREJ,       Na1, 1,        O3, 2.903, 0.051
    FIWREJ,       Na1, 1,        O1, 2.485, 0.158
    FIWREJ,       Na1, 1,       O2A, 2.290, 0.268
    SAWLUZ,       Na1, 1,       O3B, 2.306, 0.257
    SAWLUZ,       Na1, 1,        S1, 3.141, 0.098
    SAWLUZ,       Na1, 1,        O4, 2.251, 0.298
    SAWLUZ,       Na1, 1,        O3, 2.464, 0.168
    SAWLUZ,       Na1, 1,       O2C, 2.256, 0.294
    SAWLUZ,       Na1, 1,        O1, 2.458, 0.170
    ZOMBAE,       Na1, 1,       O1B, 2.503, 0.151
    ZOMBAE,       Na1, 1,       O1A, 2.503, 0.151
    ZOMBAE,       Na1, 1,        N1, 2.792, 0.097
    ZOMBAE,       Na1, 1,       O2B, 2.707, 0.087
    ZOMBAE,       Na1, 1,        O2, 2.706, 0.087
    ZOMBAE,       Na1, 1,        O1, 2.502, 0.151
    ZOMBAE,       Na1, 1,       O2A, 2.706, 0.087
  SUVXAI01,       Na1, 1,       O10, 2.482, 0.160
  SUVXAI01,       Na1, 1,       O4D, 2.561, 0.129
  SUVXAI01,       Na1, 1,        O7, 2.439, 0.179
  SUVXAI01,       Na1, 1,       O2C, 2.480, 0.160
  SUVXAI01,       Na1, 1,        O1, 2.424, 0.187
  SUVXAI01,       Na1, 1,       O8C, 2.473, 0.164
    HAXCAM,       Na1, 1,       Se2, 3.281, 0.095
    HAXCAM,       Na1, 1,       Se1, 2.982, 0.213
    HAXCAM,       Na1, 1,        O5, 2.554, 0.131
    HAXCAM,       Na1, 1,        O4, 2.615, 0.111
    HAXCAM,       Na1, 1,        O3, 2.487, 0.157
    HAXCAM,       Na1, 1,        O2, 2.443, 0.177
    HAXCAM,       Na1, 1,        O1, 2.427, 0.185
    NAVDEV,       Na3, 1,        O6, 2.329, 0.241
    NAVDEV,       Na3, 1,        N3, 2.359, 0.314
    NAVDEV,       Na3, 1,       O8*, 2.334, 0.238
    NAVDEV,       Na3, 1,       N3A, 2.551, 0.187
    NAVDEV,       Na1, 1,        N1, 2.416, 0.269
    NAVDEV,       Na1, 1,        N2, 2.510, 0.209
    NAVDEV,       Na1, 1,        O4, 2.413, 0.192
    NAVDEV,       Na1, 1,        O3, 2.316, 0.250
    NAVDEV,       Na1, 1,        O1, 2.485, 0.158
    XAYJAK,       Na2, 1,       O14, 2.305, 0.257
    XAYJAK,       Na2, 1,       O13, 2.356, 0.224
    XAYJAK,       Na2, 1,       O12, 2.728, 0.082
    XAYJAK,       Na2, 1,       O11, 2.909, 0.050
    XAYJAK,       Na2, 1,       O10, 2.770, 0.073
    XAYJAK,       Na2, 1,        O9, 2.602, 0.115
    XAYJAK,       Na2, 1,        O8, 2.779, 0.072
    XAYJAK,       Na2, 1,        O7, 2.685, 0.092
    HOQLOP,       Na1, 1,       O10, 2.793, 0.069
    HOQLOP,       Na1, 1,       O4A, 2.500, 0.152
    HOQLOP,       Na1, 1,       O3*, 2.355, 0.225
    HOQLOP,       Na1, 1,        O9, 2.323, 0.245
    HOQLOP,       Na1, 1,        O6, 2.491, 0.156
    HOQLOP,       Na1, 1,        O1, 2.389, 0.205
    HOQLOP,       Na1, 1,       O2A, 2.435, 0.181
    NAPKAQ,       Na1, 1,        O8, 2.489, 0.157
    NAPKAQ,       Na1, 1,        O7, 2.484, 0.159
    NAPKAQ,       Na1, 1,        O6, 2.437, 0.180
    NAPKAQ,       Na1, 1,        O5, 2.457, 0.171
    NAPKAQ,       Na1, 1,        O4, 2.475, 0.163
    NAPKAQ,       Na1, 1,        O3, 2.455, 0.172
    NAPKAQ,       Na1, 1,        O2, 2.442, 0.178
    NAPKAQ,       Na1, 1,        O1, 2.470, 0.165
    UMIHED,       Na3, 1,        O6, 2.386, 0.207
    UMIHED,       Na3, 1,        O4, 2.244, 0.304
    UMIHED,       Na3, 1,        O3, 2.233, 0.313
    UMIHED,       Na3, 1,        O1, 2.800, 0.068
  VABSUM10,       Na1, 1,       S9A, 2.906, 0.184
  VABSUM10,       Na1, 1,        S2, 2.911, 0.182
  VABSUM10,       Na1, 1,        S9, 2.870, 0.203
  VABSUM10,       Na1, 1,       S15, 2.871, 0.202
  VABSUM10,       Na1, 1,      S10A, 3.246, 0.073
  VABSUM10,       Na1, 1,        N5, 2.747, 0.110
    CESRAT,       Na2, 1,       O10, 2.695, 0.090
    CESRAT,       Na2, 1,        O9, 2.597, 0.117
    CESRAT,       Na2, 1,        O8, 2.671, 0.096
    CESRAT,       Na2, 1,        O7, 2.649, 0.102
    CESRAT,       Na2, 1,        O6, 2.617, 0.111
    CESRAT,       Na2, 1,        N2, 2.382, 0.295
    CESRAT,       Na2, 1,        N4, 2.502, 0.213
    CUPPUZ,       Na2, 1,       O15, 2.357, 0.224
    CUPPUZ,       Na2, 1,       O14, 2.487, 0.157
    CUPPUZ,       Na2, 1,       O13, 2.296, 0.264
    CUPPUZ,       Na2, 1,      O14A, 2.400, 0.199
    CUPPUZ,       Na2, 1,       O11, 2.524, 0.142
    CUPPUZ,       Na2, 1,      O15A, 2.416, 0.191
    CUPPUZ,       Na1, 1,        O7, 2.374, 0.214
    CUPPUZ,       Na1, 1,      O10A, 2.396, 0.201
    CUPPUZ,       Na1, 1,        O4, 2.390, 0.205
    CUPPUZ,       Na1, 1,       O12, 2.423, 0.187
    CUPPUZ,       Na1, 1,       O10, 2.330, 0.241
    BIGXEV,       Na4, 1,       O13, 2.343, 0.232
    BIGXEV,       Na4, 1,       O12, 2.394, 0.202
    BIGXEV,       Na4, 1,       O11, 2.364, 0.220
    BIGXEV,       Na4, 1,       O10, 2.396, 0.201
    BIGXEV,       Na4, 1,        O9, 2.451, 0.174
    BIGXEV,       Na4, 1,        O1, 2.230, 0.315
    HIXNEH,       Na1, 1,       N12, 2.553, 0.186
    HIXNEH,       Na1, 1,       N10, 2.430, 0.259
    HIXNEH,       Na1, 1,      N10A, 2.430, 0.259
    HIXNEH,       Na1, 1,      N12A, 2.553, 0.186
    HIXNEH,       Na1, 1,        N8, 2.526, 0.200
    HIXNEH,       Na1, 1,       N8A, 2.526, 0.200
    BIGXEV,       Na1, 1,        P3, 3.293, 0.080
    BIGXEV,       Na1, 1,       O14, 2.398, 0.200
    BIGXEV,       Na1, 1,        P7, 3.342, 0.070
    BIGXEV,       Na1, 1,        P4, 3.362, 0.067
    BIGXEV,       Na1, 1,        P8, 3.230, 0.095
    BIGXEV,       Na1, 1,        O8, 2.377, 0.212
    BIGXEV,       Na1, 1,        O7, 2.309, 0.255
    BIGXEV,       Na1, 1,        O4, 2.304, 0.258
    BIGXEV,       Na1, 1,        O3, 2.322, 0.246
    BIGXEV,       Na3, 1,        O7, 2.293, 0.266
    BIGXEV,       Na3, 1,        O6, 2.222, 0.322
    BIGXEV,       Na3, 1,        O5, 2.361, 0.221
    BIGXEV,       Na3, 1,        O4, 2.327, 0.243
    BIGXEV,       Na3, 1,        P6, 3.360, 0.067
    BIGXEV,       Na2, 1,        P2, 3.439, 0.054
    BIGXEV,       Na2, 1,        O9, 2.608, 0.114
    BIGXEV,       Na2, 1,        O8, 2.334, 0.238
    BIGXEV,       Na2, 1,        O3, 2.328, 0.242
    BIGXEV,       Na2, 1,        O2, 2.250, 0.299
    BIGXEV,       Na2, 1,        O1, 2.800, 0.068
  VAXJIN01,       Na1, 1,       N1B, 2.492, 0.219
  VAXJIN01,       Na1, 1,       O4B, 2.426, 0.186
  VAXJIN01,       Na1, 1,        O4, 2.341, 0.234
  VAXJIN01,       Na1, 1,       O3B, 2.390, 0.205
  VAXJIN01,       Na1, 1,        O2, 2.397, 0.201
    IBIRIW,       Na1, 1,       O10, 2.291, 0.267
    IBIRIW,       Na1, 1,       O7A, 2.427, 0.185
    IBIRIW,       Na1, 1,       O9B, 2.719, 0.084
    IBIRIW,       Na1, 1,       O1C, 2.292, 0.267
    IBIRIW,       Na1, 1,        O8, 2.363, 0.220
    IBIRIW,       Na1, 1,        O2, 2.489, 0.157
  KUNZIC10,       Na1, 1,        S3, 2.886, 0.194
  KUNZIC10,       Na1, 1,        S2, 3.042, 0.128
  KUNZIC10,       Na1, 1,        S4, 2.950, 0.164
  KUNZIC10,       Na1, 1,        N4, 2.400, 0.281
  KUNZIC10,       Na1, 1,        O2, 2.325, 0.244
  KUNZIC10,       Na1, 1,        O1, 2.287, 0.270
    IKUPOT,       Na1, 1,        O5, 2.242, 0.305
    IKUPOT,       Na1, 1,        O4, 2.292, 0.267
    IKUPOT,       Na1, 1,        O3, 2.402, 0.198
    IKUPOT,       Na1, 1,        O2, 2.365, 0.219
    IKUPOT,       Na1, 1,        O1, 2.343, 0.232
    LEYTAK,       Na1, 1,        N8, 2.460, 0.239
    LEYTAK,       Na1, 1,        N3, 2.441, 0.251
    LEYTAK,       Na1, 1,        N4, 2.469, 0.233
    LEYTAK,       Na1, 1,        N5, 2.486, 0.223
    LEYTAK,       Na1, 1,        N6, 2.457, 0.241
    LEYTAK,       Na1, 1,        N7, 2.494, 0.218
    CAVXAA,       Na1, 1,       O4A, 2.366, 0.218
    CAVXAA,       Na1, 1,       O4B, 2.366, 0.218
    CAVXAA,       Na1, 1,       O1B, 2.451, 0.174
    CAVXAA,       Na1, 1,       O1A, 2.451, 0.174
    CAVXAA,       Na1, 1,        O4, 2.366, 0.218
    CAVXAA,       Na1, 1,        O1, 2.451, 0.174
    TACJEM,       Na1, 1,       O4*, 2.393, 0.203
    TACJEM,       Na1, 1,       O6A, 2.370, 0.216
    TACJEM,       Na1, 1,        O7, 2.439, 0.179
    TACJEM,       Na1, 1,        O6, 2.424, 0.187
    TACJEM,       Na1, 1,        O5, 2.310, 0.254
    TACJEM,       Na1, 1,        O3, 2.523, 0.143
    RERPUA,       Na1, 1,      O10A, 2.298, 0.262
    RERPUA,       Na1, 1,        O7, 2.564, 0.128
    RERPUA,       Na1, 1,       O3A, 2.407, 0.195
    RERPUA,       Na1, 1,        O5, 2.415, 0.191
    RERPUA,       Na1, 1,        O3, 2.394, 0.202
    RERPUA,       Na1, 1,        O2, 2.436, 0.181
    XIKROY,       Na1, 1,        N1, 2.395, 0.285
    XIKROY,       Na1, 1,        N2, 2.492, 0.219
    XIKROY,       Na1, 1,       N3C, 2.485, 0.223
    XIKROY,       Na1, 1,        O2, 2.323, 0.245
    XIKROY,       Na2, 1,       N4C, 2.391, 0.288
    XIKROY,       Na2, 1,       N3C, 2.544, 0.190
    XIKROY,       Na2, 1,        N2, 2.538, 0.193
    XIKROY,       Na2, 1,        O1, 2.384, 0.208
    AXAZEF,       Na1, 1,        I1, 3.228, 0.164
    AXAZEF,       Na1, 1,        O7, 2.479, 0.161
    AXAZEF,       Na1, 1,        O6, 2.304, 0.258
    AXAZEF,       Na1, 1,        O5, 2.265, 0.287
    AXAZEF,       Na1, 1,        O4, 2.266, 0.286
    AXAZEF,       Na1, 1,        O3, 2.721, 0.084
    SOKROA,       Na1, 1,        O7, 2.398, 0.200
    SOKROA,       Na1, 1,        O6, 2.612, 0.112
    SOKROA,       Na1, 1,        O5, 2.735, 0.081
    SOKROA,       Na1, 1,        O4, 2.526, 0.142
    SOKROA,       Na1, 1,        O3, 2.619, 0.110
    SOKROA,       Na1, 1,        O2, 2.765, 0.074
    SOKROA,       Na1, 1,        O1, 2.429, 0.184
    TEFVAC,       Na1, 1,       O8*, 2.359, 0.223
    TEFVAC,       Na1, 1,       O3A, 2.426, 0.186
    TEFVAC,       Na1, 1,        O3, 2.437, 0.180
    TEFVAC,       Na1, 1,        O2, 2.379, 0.211
    TEFVAC,       Na1, 1,        O1, 2.463, 0.168
    TEFVAC,       Na1, 1,       O2A, 2.540, 0.136
    BEGWIU,       Na1, 1,        O6, 2.705, 0.087
    BEGWIU,       Na1, 1,        O7, 2.389, 0.205
    BEGWIU,       Na1, 1,        N1, 2.395, 0.285
    BEGWIU,       Na1, 1,        O5, 2.864, 0.057
    BEGWIU,       Na1, 1,        O4, 2.695, 0.090
    BEGWIU,       Na1, 1,        O3, 2.588, 0.120
    BEGWIU,       Na1, 1,        O2, 2.653, 0.101
    BEGWIU,       Na1, 1,        O1, 2.718, 0.084
    VUSWIP,       Na1, 1,       O6A, 2.335, 0.237
    VUSWIP,       Na1, 1,        O5, 2.543, 0.135
    VUSWIP,       Na1, 1,        O4, 2.406, 0.196
    VUSWIP,       Na1, 1,        O3, 2.705, 0.087
    VUSWIP,       Na1, 1,       O8A, 2.323, 0.245
    VUSWIP,       Na1, 1,        O1, 2.536, 0.138
    VUSWIP,       Na2, 1,       O11, 2.532, 0.139
    VUSWIP,       Na2, 1,       O4A, 2.426, 0.186
    VUSWIP,       Na2, 1,        O2, 2.380, 0.210
    VUSWIP,       Na2, 1,        O7, 2.437, 0.180
    VUSWIP,       Na2, 1,       O3A, 2.477, 0.162
    VUSWIP,       Na2, 1,       O1*, 2.464, 0.168
    HUMVIU,       Na4, 1,        O4, 2.296, 0.264
    HUMVIU,       Na4, 1,       O4F, 2.296, 0.264
    HUMVIU,       Na4, 1,       O4K, 2.296, 0.264
    ORUWII,       Na3, 1,       O32, 2.358, 0.223
    ORUWII,       Na3, 1,       O29, 2.698, 0.089
    ORUWII,       Na3, 1,       O30, 2.291, 0.267
    ORUWII,       Na3, 1,       O25, 2.309, 0.255
    ORUWII,       Na3, 1,      O13A, 2.361, 0.221
    ORUWII,       Na3, 1,       O27, 2.506, 0.150
    ORUWII,       Na3, 1,        P5, 3.329, 0.073
    JAQVED,       Na1, 1,        O8, 2.322, 0.246
    JAQVED,       Na1, 1,        O7, 2.492, 0.155
    JAQVED,       Na1, 1,        O6, 2.342, 0.233
    JAQVED,       Na1, 1,        O5, 2.420, 0.189
    JAQVED,       Na1, 1,        O4, 2.409, 0.194
    JAQVED,       Na1, 1,        O2, 2.292, 0.267
    HUMVIU,       Na2, 1,        O2, 2.282, 0.274
    HUMVIU,       Na2, 1,       O2H, 2.282, 0.274
    HUMVIU,       Na2, 1,       O2C, 2.282, 0.274
    ORUWII,       Na2, 1,       O16, 2.508, 0.149
    ORUWII,       Na2, 1,       O14, 2.329, 0.241
    ORUWII,       Na2, 1,        P4, 3.464, 0.051
    ORUWII,       Na2, 1,        P3, 3.294, 0.080
    ORUWII,       Na2, 1,       O19, 2.362, 0.221
    ORUWII,       Na2, 1,       O21, 2.368, 0.217
    ORUWII,       Na2, 1,       O18, 2.520, 0.144
    ORUWII,       Na2, 1,        O2, 2.308, 0.255
    VAMRAD,       Na2, 1,       O17, 2.619, 0.110
    VAMRAD,       Na2, 1,       O21, 2.530, 0.140
    VAMRAD,       Na2, 1,       O22, 2.409, 0.194
    VAMRAD,       Na2, 1,       O20, 2.617, 0.111
    VAMRAD,       Na2, 1,       O18, 2.486, 0.158
    VAMRAD,       Na2, 1,       O19, 2.513, 0.147
    VAMRAD,       Na2, 1,        N3, 3.006, 0.055
    VAMRAD,       Na2, 1,        N4, 2.841, 0.085
    VAMRAD,       Na1, 1,       O16, 2.535, 0.138
    VAMRAD,       Na1, 1,       O15, 2.537, 0.138
    VAMRAD,       Na1, 1,       O14, 2.538, 0.137
    VAMRAD,       Na1, 1,       O13, 2.585, 0.121
    VAMRAD,       Na1, 1,       O12, 2.470, 0.165
