    VILLIM,       Mg1, 2,        O2, 2.092, 0.340
    VILLIM,       Mg1, 2,        O1, 2.039, 0.393
    VILLIM,       Mg1, 2,       O2A, 2.092, 0.340
    KEQTOP,       Mg4, 2,       O17, 2.077, 0.354
    KEQTOP,       Mg4, 2,       O16, 2.101, 0.332
    KEQTOP,       Mg4, 2,       O15, 2.080, 0.351
    KEQTOP,       Mg4, 2,       O18, 2.084, 0.348
    KEQTOP,       Mg4, 2,        O8, 2.023, 0.410
    KEQTOP,       Mg4, 2,        O2, 2.043, 0.388
    KEQTOP,       Mg1, 2,        O6, 1.923, 0.537
    KEQTOP,       Mg1, 2,       O15, 2.020, 0.413
    KEQTOP,       Mg1, 2,        O4, 1.977, 0.464
    KEQTOP,       Mg1, 2,        O2, 2.018, 0.415
    KEQTOP,       Mg1, 2,        O1, 2.156, 0.286
    KEQTOP,       Mg3, 2,       O16, 2.044, 0.387
    KEQTOP,       Mg3, 2,       O15, 2.073, 0.358
    KEQTOP,       Mg3, 2,       O12, 2.059, 0.372
    KEQTOP,       Mg3, 2,       O19, 2.112, 0.322
    KEQTOP,       Mg3, 2,       O20, 2.137, 0.301
    KEQTOP,       Mg3, 2,        O4, 2.075, 0.356
    KEQTOP,       Mg2, 2,       O16, 2.036, 0.396
    KEQTOP,       Mg2, 2,       O14, 2.078, 0.353
    KEQTOP,       Mg2, 2,       O12, 2.080, 0.351
    KEQTOP,       Mg2, 2,       O10, 2.035, 0.397
    KEQTOP,       Mg2, 2,        O8, 2.082, 0.349
    KEQTOP,       Mg2, 2,        O7, 2.173, 0.273
    BZMGIC,       Mg1, 2,        O2, 2.178, 0.270
    BZMGIC,       Mg1, 2,        N1, 2.059, 0.568
    BZMGIC,       Mg1, 2,        N2, 2.063, 0.562
    BZMGIC,       Mg1, 2,        O4, 2.170, 0.275
    BZMGIC,       Mg1, 2,        O3, 2.176, 0.271
    BZMGIC,       Mg1, 2,        O5, 2.205, 0.251
    BZMGIC,       Mg1, 2,        O1, 2.195, 0.257
    PUFYOF,       Mg1, 2,       O5B, 2.049, 0.382
    PUFYOF,       Mg1, 2,       O7B, 2.089, 0.343
    PUFYOF,       Mg1, 2,       O6B, 2.057, 0.374
    PUFYOF,       Mg1, 2,        O7, 2.089, 0.343
    PUFYOF,       Mg1, 2,        O6, 2.057, 0.374
    PUFYOF,       Mg1, 2,        O5, 2.049, 0.382
    YITTEB,       Mg1, 2,        O4, 2.031, 0.401
    YITTEB,       Mg1, 2,        O3, 2.030, 0.402
    YITTEB,       Mg1, 2,        O2, 1.877, 0.608
    YITTEB,       Mg1, 2,        O1, 1.876, 0.610
    FOHSAX,       Mg1, 2,        N1, 2.156, 0.437
    FOHSAX,       Mg1, 2,        N3, 2.154, 0.440
    FOHSAX,       Mg1, 2,        N5, 2.013, 0.644
    FOHSAX,       Mg1, 2,        N6, 2.004, 0.660
    GUQPUE,       Mg1, 2,        N1, 2.047, 0.587
    GUQPUE,       Mg1, 2,        N2, 2.055, 0.575
    GUQPUE,       Mg1, 2,        N3, 2.096, 0.514
    GUQPUE,       Mg1, 2,        O1, 1.854, 0.647
  FELGUY01,       Mg1, 2,       O3B, 2.109, 0.325
  FELGUY01,       Mg1, 2,       O4B, 2.058, 0.373
  FELGUY01,       Mg1, 2,       O1B, 2.076, 0.355
  FELGUY01,       Mg1, 2,        O4, 2.058, 0.373
  FELGUY01,       Mg1, 2,        O3, 2.109, 0.325
  FELGUY01,       Mg1, 2,        O1, 2.076, 0.355
    KEHJIR,       Mg1, 2,       O4B, 1.940, 0.513
    KEHJIR,       Mg1, 2,       N1B, 2.523, 0.162
