    COVGID,       Fe3, 2,       S6A, 2.520, 0.242,0,1.9943487257008297
    COVGID,       Fe3, 2,        S4, 2.486, 0.265,0,1.9943487257008297
    SOTVUS,       Fe4, 2,        S3, 2.283, 0.458,0,1.9943487257008297
    SOTVUS,       Fe4, 2,        S2, 2.289, 0.451,0,1.9943487257008297
    SOTVUS,       Fe4, 2,        S8, 2.309, 0.427,0,1.9943487257008297
    SOTVUS,       Fe4, 2,        S4, 2.254, 0.496,0,1.9943487257008297
    COVGID,       Fe1, 2,       S2A, 2.474, 0.274,0,1.9943487257008297
    COVGID,       Fe1, 2,        S3, 2.519, 0.242,0,1.9943487257008297
    COVGID,       Fe1, 2,        S2, 2.474, 0.274,0,1.9943487257008297
    COVGID,       Fe1, 2,        S1, 2.512, 0.247,0,1.9943487257008297
    COVGID,       Fe1, 2,       S1A, 2.512, 0.247,0,1.9943487257008297
    COVGID,       Fe1, 2,       S3A, 2.519, 0.242,0,1.9943487257008297
    CEYHET,       Fe4, 2,        S3, 2.350, 0.382,0,1.9943487257008297
    CEYHET,       Fe4, 2,       S10, 2.299, 0.439,0,1.9943487257008297
    CEYHET,       Fe4, 2,        S6, 2.371, 0.361,0,1.9943487257008297
    CEYHET,       Fe4, 2,        S5, 2.349, 0.383,0,1.9943487257008297
    EBEBUI,       Fe1, 2,        S2, 2.368, 0.364,0,1.9943487257008297
    EBEBUI,       Fe1, 2,       S1A, 2.341, 0.392,0,1.9943487257008297
    EBEBUI,       Fe1, 2,       S2A, 2.368, 0.364,0,1.9943487257008297
    EBEBUI,       Fe1, 2,        S1, 2.341, 0.392,0,1.9943487257008297
    ZIFDEX,       Fe3, 2,        S3, 2.333, 0.400,0,1.9943487257008297
    ZIFDEX,       Fe3, 2,        S2, 2.319, 0.416,0,1.9943487257008297
    ZIFDEX,       Fe3, 2,        S1, 2.336, 0.397,0,1.9943487257008297
    ZIFDEX,       Fe3, 2,        S4, 2.341, 0.392,0,1.9943487257008297
    CERVIE,       Fe1, 2,       S2B, 2.220, 0.543,0,1.9943487257008297
    CERVIE,       Fe1, 2,        S2, 2.220, 0.543,0,1.9943487257008297
    CERVIE,       Fe1, 2,        S1, 2.233, 0.525,0,1.9943487257008297
    CERVIE,       Fe1, 2,       S1B, 2.233, 0.525,0,1.9943487257008297
    BUJHUJ,       Fe1, 2,        S2, 2.366, 0.366,0,1.9943487257008297
    BUJHUJ,       Fe1, 2,        S1, 2.306, 0.431,0,1.9943487257008297
    BUJHUJ,       Fe1, 2,        S6, 2.314, 0.422,0,1.9943487257008297
    BUJHUJ,       Fe1, 2,        S4, 2.350, 0.382,0,1.9943487257008297
  IMSPFE10,       Fe1, 2,        S3, 2.339, 0.394,0,1.9943487257008297
  IMSPFE10,       Fe1, 2,        S2, 2.364, 0.368,0,1.9943487257008297
  IMSPFE10,       Fe1, 2,        S1, 2.357, 0.375,0,1.9943487257008297
  IMSPFE10,       Fe1, 2,        S4, 2.381, 0.352,0,1.9943487257008297
    HELLOZ,       Fe1, 2,        S3, 2.355, 0.377,0,1.9943487257008297
    HELLOZ,       Fe1, 2,        S2, 2.348, 0.384,0,1.9943487257008297
    HELLOZ,       Fe1, 2,        S1, 2.362, 0.370,0,1.9943487257008297
    HELLOZ,       Fe1, 2,        S4, 2.385, 0.348,0,1.9943487257008297
    YOMPOF,       Fe2, 2,        S3, 2.343, 0.390,0,1.9943487257008297
    YOMPOF,       Fe2, 2,        S2, 2.369, 0.363,0,1.9943487257008297
    YOMPOF,       Fe2, 2,        S1, 2.359, 0.373,0,1.9943487257008297
    YOMPOF,       Fe2, 2,        S4, 2.384, 0.349,0,1.9943487257008297
    EGUZUB,       Fe1, 2,       S2B, 2.258, 0.490,0,1.9943487257008297
    EGUZUB,       Fe1, 2,        S3, 2.256, 0.493,0,1.9943487257008297
    EGUZUB,       Fe1, 2,        S2, 2.258, 0.490,0,1.9943487257008297
    EGUZUB,       Fe1, 2,        S1, 2.244, 0.509,0,1.9943487257008297
    EGUZUB,       Fe1, 2,       S1B, 2.244, 0.509,0,1.9943487257008297
    EGUZUB,       Fe1, 2,       S3B, 2.256, 0.493,0,1.9943487257008297
    LAXNUT,       Fe1, 2,        S3, 2.250, 0.501,0,1.9943487257008297
    LAXNUT,       Fe1, 2,        S2, 2.252, 0.498,0,1.9943487257008297
    LAXNUT,       Fe1, 2,        S1, 2.258, 0.490,0,1.9943487257008297
    LAXNUT,       Fe1, 2,        S6, 2.266, 0.480,0,1.9943487257008297
    LAXNUT,       Fe1, 2,        S5, 2.264, 0.482,0,1.9943487257008297
    LAXNUT,       Fe1, 2,        S4, 2.252, 0.498,0,1.9943487257008297
    LAHMOW,       Fe2, 2,        S3, 2.374, 0.358,0,1.9943487257008297
    LAHMOW,       Fe2, 2,        S2, 2.253, 0.497,0,1.9943487257008297
    LAHMOW,       Fe2, 2,        S5, 2.353, 0.379,0,1.9943487257008297
    LAHMOW,       Fe2, 2,        S4, 2.352, 0.380,0,1.9943487257008297
    TARSIO,       Fe1, 2,       S2B, 2.207, 0.563,0,1.9943487257008297
    TARSIO,       Fe1, 2,        S2, 2.207, 0.563,0,1.9943487257008297
    TARSIO,       Fe1, 2,        S1, 2.206, 0.564,0,1.9943487257008297
    TARSIO,       Fe1, 2,       S1B, 2.206, 0.564,0,1.9943487257008297
    RUZXUF,       Fe1, 2,        S1, 2.457, 0.286,0,1.9943487257008297
    RUZXUF,       Fe1, 2,       S1K, 2.457, 0.286,0,1.9943487257008297
    RUZXUF,       Fe1, 2,       S1J, 2.457, 0.286,0,1.9943487257008297
    RUZXUF,       Fe1, 2,       S1I, 2.457, 0.286,0,1.9943487257008297
    RUZXUF,       Fe1, 2,       S1B, 2.457, 0.286,0,1.9943487257008297
    RUZXUF,       Fe1, 2,       S1A, 2.457, 0.286,0,1.9943487257008297
    UMIBEX,       Fe2, 2,       S4A, 2.252, 0.498,0,1.9943487257008297
    UMIBEX,       Fe2, 2,       S5A, 2.260, 0.488,0,1.9943487257008297
    UMIBEX,       Fe2, 2,        S6, 2.261, 0.486,0,1.9943487257008297
    UMIBEX,       Fe2, 2,        S5, 2.260, 0.488,0,1.9943487257008297
    UMIBEX,       Fe2, 2,        S4, 2.252, 0.498,0,1.9943487257008297
    UMIBEX,       Fe2, 2,       S6A, 2.261, 0.486,0,1.9943487257008297
    UMIBEX,       Fe1, 2,       S2A, 2.257, 0.492,0,1.9943487257008297
    UMIBEX,       Fe1, 2,        S3, 2.253, 0.497,0,1.9943487257008297
    UMIBEX,       Fe1, 2,        S2, 2.257, 0.492,0,1.9943487257008297
    UMIBEX,       Fe1, 2,        S1, 2.251, 0.500,0,1.9943487257008297
    UMIBEX,       Fe1, 2,       S1A, 2.251, 0.500,0,1.9943487257008297
    UMIBEX,       Fe1, 2,       S3A, 2.253, 0.497,0,1.9943487257008297
