  XIBKID01,       Fe1, 3,       Br2, 2.326, 0.763,0,2.2258520120008729
  XIBKID01,       Fe1, 3,       Br1, 2.334, 0.747,0,2.2258520120008729
    XIMFUV,       Fe3, 3,      Br12, 2.332, 0.751,0,2.2258520120008729
    XIMFUV,       Fe3, 3,      Br11, 2.331, 0.753,0,2.2258520120008729
    XIMFUV,       Fe3, 3,      Br10, 2.344, 0.727,0,2.2258520120008729
    XIMFUV,       Fe3, 3,       Br9, 2.339, 0.737,0,2.2258520120008729
    QUSDAK,       Fe1, 3,       Br4, 2.336, 0.743,0,2.2258520120008729
    QUSDAK,       Fe1, 3,       Br3, 2.359, 0.698,0,2.2258520120008729
    QUSDAK,       Fe1, 3,       Br2, 2.328, 0.759,0,2.2258520120008729
    QUSDAK,       Fe1, 3,       Br1, 2.336, 0.743,0,2.2258520120008729
    ECOPER,       Fe1, 3,       Br4, 2.304, 0.810,0,2.2258520120008729
    ECOPER,       Fe1, 3,       Br3, 2.315, 0.786,0,2.2258520120008729
    ECOPER,       Fe1, 3,       Br2, 2.314, 0.788,0,2.2258520120008729
    ECOPER,       Fe1, 3,       Br1, 2.331, 0.753,0,2.2258520120008729
  WIGMUU01,       Fe2, 3,       Br7, 2.331, 0.753,0,2.2258520120008729
  WIGMUU01,       Fe2, 3,       Br6, 2.334, 0.747,0,2.2258520120008729
  WIGMUU01,       Fe2, 3,       Br5, 2.342, 0.731,0,2.2258520120008729
  WIGMUU01,       Fe2, 3,       Br8, 2.326, 0.763,0,2.2258520120008729
  WIGMUU01,       Fe1, 3,       Br4, 2.326, 0.763,0,2.2258520120008729
  WIGMUU01,       Fe1, 3,       Br3, 2.338, 0.739,0,2.2258520120008729
  WIGMUU01,       Fe1, 3,       Br2, 2.340, 0.735,0,2.2258520120008729
  WIGMUU01,       Fe1, 3,       Br1, 2.341, 0.733,0,2.2258520120008729
    WEJSAF,       Fe1, 3,       Br4, 2.318, 0.780,0,2.2258520120008729
    WEJSAF,       Fe1, 3,       Br3, 2.308, 0.801,0,2.2258520120008729
    WEJSAF,       Fe1, 3,       Br2, 2.339, 0.737,0,2.2258520120008729
    WEJSAF,       Fe1, 3,       Br1, 2.334, 0.747,0,2.2258520120008729
    LILRUU,       Fe1, 3,      Br1C, 2.330, 0.755,0,2.2258520120008729
    LILRUU,       Fe1, 3,       Br2, 2.329, 0.757,0,2.2258520120008729
    LILRUU,       Fe1, 3,       Br1, 2.330, 0.755,0,2.2258520120008729
    LILRUU,       Fe1, 3,      Br2C, 2.329, 0.757,0,2.2258520120008729
    GOPTAG,       Fe1, 3,       Br4, 2.339, 0.737,0,2.2258520120008729
    GOPTAG,       Fe1, 3,       Br3, 2.338, 0.739,0,2.2258520120008729
    GOPTAG,       Fe1, 3,       Br2, 2.357, 0.702,0,2.2258520120008729
    GOPTAG,       Fe1, 3,       Br1, 2.333, 0.749,0,2.2258520120008729
    GIDROB,       Fe1, 3,       Br4, 2.318, 0.780,0,2.2258520120008729
    GIDROB,       Fe1, 3,       Br3, 2.314, 0.788,0,2.2258520120008729
    GIDROB,       Fe1, 3,       Br2, 2.330, 0.755,0,2.2258520120008729
    GIDROB,       Fe1, 3,       Br1, 2.326, 0.763,0,2.2258520120008729
    JETGEU,       Fe1, 3,       Br4, 2.336, 0.743,0,2.2258520120008729
    JETGEU,       Fe1, 3,       Br3, 2.333, 0.749,0,2.2258520120008729
    JETGEU,       Fe1, 3,       Br2, 2.347, 0.721,0,2.2258520120008729
    JETGEU,       Fe1, 3,       Br1, 2.338, 0.739,0,2.2258520120008729
    JETGEU,       Fe2, 3,       Br7, 2.343, 0.729,0,2.2258520120008729
    JETGEU,       Fe2, 3,       Br6, 2.345, 0.725,0,2.2258520120008729
    JETGEU,       Fe2, 3,       Br5, 2.335, 0.745,0,2.2258520120008729
    JETGEU,       Fe2, 3,       Br8, 2.349, 0.717,0,2.2258520120008729
