    WEFFUJ,       Fe1, 3,        N6, 2.093, 0.364,0,1.7194345035746008
    TAGYIL,       Fe1, 3,        N8, 1.995, 0.475,0,1.7194345035746008
    TAGYIL,       Fe1, 3,        N1, 1.880, 0.648,0,1.7194345035746008
    TAGYIL,       Fe1, 3,        N2, 1.883, 0.643,0,1.7194345035746008
    TAGYIL,       Fe1, 3,        N3, 1.953, 0.532,0,1.7194345035746008
    TAGYIL,       Fe1, 3,        N4, 1.961, 0.521,0,1.7194345035746008
    TAGYIL,       Fe1, 3,        N5, 1.975, 0.501,0,1.7194345035746008
    TAGYIL,       Fe2, 3,       N12, 1.889, 0.632,0,1.7194345035746008
    TAGYIL,       Fe2, 3,       N14, 2.033, 0.428,0,1.7194345035746008
    TAGYIL,       Fe2, 3,       N19, 1.956, 0.528,0,1.7194345035746008
    TAGYIL,       Fe2, 3,        N9, 1.957, 0.526,0,1.7194345035746008
    TAGYIL,       Fe2, 3,       N20, 1.983, 0.490,0,1.7194345035746008
    TAGYIL,       Fe2, 3,        N7, 1.893, 0.626,0,1.7194345035746008
    EVOKOP,       Fe1, 3,       N3O, 1.954, 0.530,0,1.7194345035746008
    EVOKOP,       Fe1, 3,       N1O, 1.952, 0.533,0,1.7194345035746008
    EVOKOP,       Fe1, 3,       N5O, 1.941, 0.549,0,1.7194345035746008
    EVOKOP,       Fe1, 3,        N1, 1.954, 0.530,0,1.7194345035746008
    EVOKOP,       Fe1, 3,        N3, 1.952, 0.533,0,1.7194345035746008
    EVOKOP,       Fe1, 3,        N5, 1.940, 0.551,0,1.7194345035746008
    EVOKOP,       Fe2, 3,       N7A, 2.063, 0.395,0,1.7194345035746008
    EVOKOP,       Fe2, 3,       N7B, 2.063, 0.395,0,1.7194345035746008
    EVOKOP,       Fe2, 3,        N7, 2.063, 0.395,0,1.7194345035746008
    EVOKOP,       Fe2, 3,       N7I, 2.063, 0.395,0,1.7194345035746008
    EVOKOP,       Fe2, 3,       N7J, 2.063, 0.395,0,1.7194345035746008
    EVOKOP,       Fe2, 3,       N7K, 2.063, 0.395,0,1.7194345035746008
    CIWVAF,       Fe1, 3,        N1, 1.950, 0.536,0,1.7194345035746008
    CIWVAF,       Fe1, 3,        N2, 1.981, 0.493,0,1.7194345035746008
    CIWVAF,       Fe1, 3,        N3, 1.933, 0.561,0,1.7194345035746008
    CIWVAF,       Fe1, 3,        N4, 1.973, 0.504,0,1.7194345035746008
    CIWVAF,       Fe1, 3,        N5, 1.670, 1.143,0,1.7194345035746008
    SEKLOK,       Fe1, 3,       N2D, 1.951, 0.535,0,1.7194345035746008
    SEKLOK,       Fe1, 3,       N6D, 1.956, 0.528,0,1.7194345035746008
    SEKLOK,       Fe1, 3,        N2, 1.951, 0.535,0,1.7194345035746008
    SEKLOK,       Fe1, 3,        N4, 1.958, 0.525,0,1.7194345035746008
