    CICHUS,       Fe2, 2,       N14, 2.007, 0.336,0,1.6035209463714926
    CICHUS,       Fe2, 2,       N15, 1.997, 0.345,0,1.6035209463714926
    JIVTOX,       Fe1, 2,       N4A, 1.987, 0.355,0,1.6035209463714926
    JIVTOX,       Fe1, 2,        N1, 2.011, 0.332,0,1.6035209463714926
    JIVTOX,       Fe1, 2,        N3, 2.005, 0.338,0,1.6035209463714926
    JIVTOX,       Fe1, 2,        N4, 1.987, 0.355,0,1.6035209463714926
    JIVTOX,       Fe1, 2,       N3A, 2.005, 0.338,0,1.6035209463714926
  FPICFE10,       Fe1, 2,        N1, 1.943, 0.400,0,1.6035209463714926
  FPICFE10,       Fe1, 2,        N2, 1.927, 0.417,0,1.6035209463714926
  FPICFE10,       Fe1, 2,        N3, 1.921, 0.424,0,1.6035209463714926
  FPICFE10,       Fe1, 2,        N4, 1.972, 0.369,0,1.6035209463714926
  FPICFE10,       Fe1, 2,        N5, 1.984, 0.358,0,1.6035209463714926
  FPICFE10,       Fe1, 2,        N6, 1.979, 0.362,0,1.6035209463714926
    ANIBUV,       Fe3, 2,       N13, 1.954, 0.388,0,1.6035209463714926
    ANIBUV,       Fe3, 2,       N16, 1.977, 0.364,0,1.6035209463714926
    ANIBUV,       Fe3, 2,       N17, 1.937, 0.406,0,1.6035209463714926
    ANIBUV,       Fe3, 2,       N14, 1.933, 0.410,0,1.6035209463714926
    ANIBUV,       Fe3, 2,       N15, 1.947, 0.395,0,1.6035209463714926
    ANIBUV,       Fe3, 2,       N18, 1.962, 0.380,0,1.6035209463714926
    HIDGAD,       Fe2, 2,       N12, 2.240, 0.179,0,1.6035209463714926
    HIDGAD,       Fe2, 2,       N13, 2.194, 0.203,0,1.6035209463714926
    HIDGAD,       Fe2, 2,       N10, 2.132, 0.240,0,1.6035209463714926
    HIDGAD,       Fe2, 2,       N11, 2.191, 0.204,0,1.6035209463714926
    HIDGAD,       Fe2, 2,       N15, 2.245, 0.177,0,1.6035209463714926
    HIDGAD,       Fe2, 2,        N9, 2.115, 0.251,0,1.6035209463714926
    HIDGAD,       Fe1, 2,        N8, 2.121, 0.247,0,1.6035209463714926
    HIDGAD,       Fe1, 2,        N1, 2.215, 0.192,0,1.6035209463714926
    HIDGAD,       Fe1, 2,        N3, 2.188, 0.206,0,1.6035209463714926
    HIDGAD,       Fe1, 2,        N4, 2.180, 0.211,0,1.6035209463714926
    HIDGAD,       Fe1, 2,        N5, 2.216, 0.191,0,1.6035209463714926
    HIDGAD,       Fe1, 2,        N7, 2.188, 0.206,0,1.6035209463714926
    ICOHOX,       Fe1, 2,        N1, 2.001, 0.342,0,1.6035209463714926
    ICOHOX,       Fe1, 2,        N2, 2.002, 0.341,0,1.6035209463714926
    ICOHOX,       Fe1, 2,       N1D, 2.001, 0.342,0,1.6035209463714926
    ICOHOX,       Fe1, 2,       N2D, 2.002, 0.341,0,1.6035209463714926
    TACFOU,       Fe1, 2,       N3B, 1.934, 0.409,0,1.6035209463714926
    TACFOU,       Fe1, 2,       N1B, 1.932, 0.412,0,1.6035209463714926
    TACFOU,       Fe1, 2,        N1, 1.932, 0.412,0,1.6035209463714926
    TACFOU,       Fe1, 2,        N3, 1.934, 0.409,0,1.6035209463714926
    TACFOU,       Fe1, 2,       N5B, 2.014, 0.330,0,1.6035209463714926
    TACFOU,       Fe1, 2,        N5, 2.014, 0.330,0,1.6035209463714926
  RESWIW01,       Fe2, 2,       N13, 2.211, 0.194,0,1.6035209463714926
  RESWIW01,       Fe2, 2,       N11, 2.188, 0.206,0,1.6035209463714926
  RESWIW01,       Fe2, 2,      N11A, 2.188, 0.206,0,1.6035209463714926
  RESWIW01,       Fe2, 2,        N9, 2.137, 0.236,0,1.6035209463714926
  RESWIW01,       Fe2, 2,      N13A, 2.211, 0.194,0,1.6035209463714926
  RESWIW01,       Fe2, 2,       N9A, 2.137, 0.236,0,1.6035209463714926
  OSALIE01,       Fe1, 2,       N10, 1.942, 0.401,0,1.6035209463714926
  OSALIE01,       Fe1, 2,        N9, 1.950, 0.392,0,1.6035209463714926
  OSALIE01,       Fe1, 2,        N1, 1.959, 0.383,0,1.6035209463714926
  OSALIE01,       Fe1, 2,        N4, 1.985, 0.357,0,1.6035209463714926
  OSALIE01,       Fe1, 2,        N6, 1.979, 0.362,0,1.6035209463714926
  OSALIE01,       Fe1, 2,        N7, 2.000, 0.342,0,1.6035209463714926
    LUGXAN,       Fe1, 2,       N10, 2.153, 0.226,0,1.6035209463714926
    LUGXAN,       Fe1, 2,        N8, 2.193, 0.203,0,1.6035209463714926
    LUGXAN,       Fe1, 2,        N2, 2.180, 0.211,0,1.6035209463714926
