  XUMWAE01,       Fe1, 2,       N10, 2.087, 0.276,0,1.6102359194747378
  XUMWAE01,       Fe1, 2,      N10B, 2.087, 0.276,0,1.6102359194747378
  XUMWAE01,       Fe1, 2,       N2B, 2.176, 0.217,0,1.6102359194747378
  XUMWAE01,       Fe1, 2,       N1B, 2.215, 0.195,0,1.6102359194747378
  XUMWAE01,       Fe1, 2,        N1, 2.215, 0.195,0,1.6102359194747378
  XUMWAE01,       Fe1, 2,        N2, 2.176, 0.217,0,1.6102359194747378
    WAPNEI,       Fe1, 2,       N1P, 2.235, 0.185,0,1.6102359194747378
    WAPNEI,       Fe1, 2,       N1Q, 2.234, 0.185,0,1.6102359194747378
    WAPNEI,       Fe1, 2,       N1B, 2.233, 0.186,0,1.6102359194747378
    WAPNEI,       Fe1, 2,       N1A, 2.232, 0.186,0,1.6102359194747378
    WAPNEI,       Fe1, 2,        N1, 2.232, 0.186,0,1.6102359194747378
    WAPNEI,       Fe1, 2,       N1O, 2.234, 0.185,0,1.6102359194747378
    JAVJAS,       Fe1, 2,        N3, 2.142, 0.238,0,1.6102359194747378
    JAVJAS,       Fe1, 2,        O6, 2.138, 0.337,0,1.7352693218182855
    JAVJAS,       Fe1, 2,        N1, 2.147, 0.234,0,1.6102359194747378
    JAVJAS,       Fe1, 2,        O4, 2.142, 0.333,0,1.7352693218182855
    JAVJAS,       Fe1, 2,        O3, 2.135, 0.339,0,1.7352693218182855
    JAVJAS,       Fe1, 2,        O1, 2.095, 0.378,0,1.7352693218182855
    WAJHEW,       Fe1, 2,       N1A, 2.255, 0.175,0,1.6102359194747378
    WAJHEW,       Fe1, 2,       O1A, 2.154, 0.322,0,1.7352693218182855
    WAJHEW,       Fe1, 2,        N1, 2.255, 0.175,0,1.6102359194747378
    WAJHEW,       Fe1, 2,        O2, 2.074, 0.400,0,1.7352693218182855
    WAJHEW,       Fe1, 2,        O1, 2.154, 0.322,0,1.7352693218182855
    WAJHEW,       Fe1, 2,       O2A, 2.074, 0.400,0,1.7352693218182855
    QIBZUX,       Fe1, 2,        N1, 2.275, 0.166,0,1.6102359194747378
    QIBZUX,       Fe1, 2,        N2, 2.199, 0.204,0,1.6102359194747378
    QIBZUX,       Fe1, 2,        N3, 2.216, 0.195,0,1.6102359194747378
    QIBZUX,       Fe1, 2,        N4, 2.306, 0.153,0,1.6102359194747378
    QIBZUX,       Fe1, 2,        N5, 2.192, 0.208,0,1.6102359194747378
    QIBZUX,       Fe1, 2,        N6, 2.161, 0.226,0,1.6102359194747378
    RUNWAZ,       Fe1, 2,        N1, 2.122, 0.251,0,1.6102359194747378
    RUNWAZ,       Fe1, 2,        O6, 2.091, 0.382,0,1.7352693218182855
    RUNWAZ,       Fe1, 2,        O5, 2.159, 0.318,0,1.7352693218182855
    RUNWAZ,       Fe1, 2,        O4, 2.303, 0.216,0,1.7352693218182855
    RUNWAZ,       Fe1, 2,        O2, 2.056, 0.420,0,1.7352693218182855
    RUNWAZ,       Fe1, 2,        O1, 2.003, 0.485,0,1.7352693218182855
    EBUWOO,       Fe1, 2,       O1F, 2.081, 0.393,0,1.7352693218182855
    EBUWOO,       Fe1, 2,       O1O, 2.248, 0.250,0,1.7352693218182855
    EBUWOO,       Fe1, 2,        N1, 2.065, 0.293,0,1.6102359194747378
    EBUWOO,       Fe1, 2,        O3, 2.280, 0.229,0,1.7352693218182855
    EBUWOO,       Fe1, 2,        O2, 1.972, 0.527,0,1.7352693218182855
    EBUWOO,       Fe1, 2,        O1, 2.082, 0.392,0,1.7352693218182855
    BOWNIL,       Fe1, 2,        N8, 2.128, 0.247,0,1.6102359194747378
    BOWNIL,       Fe1, 2,        N1, 2.148, 0.234,0,1.6102359194747378
    BOWNIL,       Fe1, 2,        N3, 2.151, 0.232,0,1.6102359194747378
    BOWNIL,       Fe1, 2,        N4, 2.175, 0.217,0,1.6102359194747378
    BOWNIL,       Fe1, 2,        N5, 2.142, 0.238,0,1.6102359194747378
    BOWNIL,       Fe1, 2,        N7, 2.152, 0.231,0,1.6102359194747378
    AJAXEP,       Fe1, 2,        N8, 2.197, 0.205,0,1.6102359194747378
    AJAXEP,       Fe1, 2,        N1, 2.132, 0.244,0,1.6102359194747378
    AJAXEP,       Fe1, 2,        N2, 2.126, 0.248,0,1.6102359194747378
    AJAXEP,       Fe1, 2,        N3, 2.153, 0.231,0,1.6102359194747378
    AJAXEP,       Fe1, 2,        N4, 2.191, 0.208,0,1.6102359194747378
    AJAXEP,       Fe1, 2,        N7, 2.151, 0.232,0,1.6102359194747378
    TISWIC,       Fe1, 2,        N8, 2.231, 0.187,0,1.6102359194747378
    TISWIC,       Fe1, 2,        N1, 2.221, 0.192,0,1.6102359194747378
    TISWIC,       Fe1, 2,        N2, 2.185, 0.212,0,1.6102359194747378
    TISWIC,       Fe1, 2,        N5, 2.059, 0.297,0,1.6102359194747378
    TISWIC,       Fe1, 2,        N6, 2.018, 0.332,0,1.6102359194747378
    TISWIC,       Fe1, 2,        N7, 2.237, 0.184,0,1.6102359194747378
  XEFDER05,       Fe2, 2,       N11, 1.988, 0.360,0,1.6102359194747378
  XEFDER05,       Fe2, 2,      N11A, 1.988, 0.360,0,1.6102359194747378
  XEFDER05,       Fe2, 2,        N9, 1.982, 0.366,0,1.6102359194747378
  XEFDER05,       Fe2, 2,       N7A, 1.982, 0.366,0,1.6102359194747378
  XEFDER05,       Fe2, 2,       N9A, 1.982, 0.366,0,1.6102359194747378
  XEFDER05,       Fe2, 2,        N7, 1.982, 0.366,0,1.6102359194747378
  XEFDER05,       Fe1, 2,       N3A, 2.150, 0.233,0,1.6102359194747378
  XEFDER05,       Fe1, 2,       N1A, 2.185, 0.212,0,1.6102359194747378
  XEFDER05,       Fe1, 2,        N1, 2.185, 0.212,0,1.6102359194747378
  XEFDER05,       Fe1, 2,        N3, 2.150, 0.233,0,1.6102359194747378
  XEFDER05,       Fe1, 2,        N5, 2.179, 0.215,0,1.6102359194747378
  XEFDER05,       Fe1, 2,       N5A, 2.179, 0.215,0,1.6102359194747378
    WODKAB,       Fe1, 2,       N1B, 2.150, 0.233,0,1.6102359194747378
    WODKAB,       Fe1, 2,       O1B, 2.045, 0.433,0,1.7352693218182855
    WODKAB,       Fe1, 2,        N1, 2.150, 0.233,0,1.6102359194747378
    WODKAB,       Fe1, 2,       O3B, 2.208, 0.279,0,1.7352693218182855
    WODKAB,       Fe1, 2,        O3, 2.208, 0.279,0,1.7352693218182855
    WODKAB,       Fe1, 2,        O1, 2.045, 0.433,0,1.7352693218182855
    POLLAE,       Fe1, 2,       N10, 2.127, 0.247,0,1.6102359194747378
    POLLAE,       Fe1, 2,        N8, 2.194, 0.206,0,1.6102359194747378
    POLLAE,       Fe1, 2,        N1, 2.193, 0.207,0,1.6102359194747378
    POLLAE,       Fe1, 2,        N3, 2.204, 0.201,0,1.6102359194747378
    POLLAE,       Fe1, 2,        N5, 2.135, 0.242,0,1.6102359194747378
    POLLAE,       Fe1, 2,        N6, 2.170, 0.220,0,1.6102359194747378
