    OCUWUG,       Fe1, 3,        O8, 1.937, 0.602,0,1.7489501731195423
    OCUWUG,       Fe1, 3,        O5, 1.940, 0.597,0,1.7489501731195423
    OCUWUG,       Fe1, 3,        O4, 2.004, 0.502,0,1.7489501731195423
    OCUWUG,       Fe1, 3,        O3, 2.021, 0.479,0,1.7489501731195423
    OCUWUG,       Fe1, 3,        O2, 2.009, 0.495,0,1.7489501731195423
    OCUWUG,       Fe1, 3,        O1, 2.009, 0.495,0,1.7489501731195423
    OCUWUG,       Fe2, 3,       O13, 1.990, 0.521,0,1.7489501731195423
    OCUWUG,       Fe2, 3,       O28, 1.987, 0.526,0,1.7489501731195423
    OCUWUG,       Fe2, 3,       O11, 2.054, 0.438,0,1.7489501731195423
    OCUWUG,       Fe2, 3,       O25, 1.946, 0.587,0,1.7489501731195423
    OCUWUG,       Fe2, 3,        O7, 1.994, 0.516,0,1.7489501731195423
    OCUWUG,       Fe2, 3,       O12, 2.062, 0.429,0,1.7489501731195423
    OCUWUG,       Fe3, 3,       O17, 2.040, 0.455,0,1.7489501731195423
    OCUWUG,       Fe3, 3,       O16, 2.064, 0.427,0,1.7489501731195423
    OCUWUG,       Fe3, 3,       O14, 1.976, 0.541,0,1.7489501731195423
    OCUWUG,       Fe3, 3,       O10, 1.999, 0.509,0,1.7489501731195423
    OCUWUG,       Fe3, 3,       O26, 1.950, 0.581,0,1.7489501731195423
    OCUWUG,       Fe3, 3,       O27, 1.996, 0.513,0,1.7489501731195423
    OCUWUG,       Fe6, 3,       O15, 2.021, 0.479,0,1.7489501731195423
    OCUWUG,       Fe6, 3,       O29, 2.220, 0.280,0,1.7489501731195423
    OCUWUG,       Fe6, 3,       O26, 1.890, 0.683,0,1.7489501731195423
    OCUWUG,       Fe6, 3,       O30, 2.178, 0.314,0,1.7489501731195423
    OCUWUG,       Fe6, 3,       O25, 1.903, 0.659,0,1.7489501731195423
    OCUWUG,       Fe6, 3,       O20, 1.976, 0.541,0,1.7489501731195423
    DEQWEC,       Fe3, 3,       O16, 2.113, 0.374,0,1.7489501731195423
    DEQWEC,       Fe3, 3,       O13, 2.012, 0.491,0,1.7489501731195423
    DEQWEC,       Fe3, 3,       O11, 2.012, 0.491,0,1.7489501731195423
    DEQWEC,       Fe3, 3,        O9, 1.977, 0.540,0,1.7489501731195423
    DEQWEC,       Fe3, 3,        O7, 2.028, 0.470,0,1.7489501731195423
    DEQWEC,       Fe3, 3,        O1, 1.897, 0.670,0,1.7489501731195423
    DEQWEC,       Fe2, 3,       O15, 2.095, 0.392,0,1.7489501731195423
    DEQWEC,       Fe2, 3,        O8, 2.001, 0.506,0,1.7489501731195423
    DEQWEC,       Fe2, 3,        O6, 1.984, 0.530,0,1.7489501731195423
    DEQWEC,       Fe2, 3,        O5, 2.028, 0.470,0,1.7489501731195423
    DEQWEC,       Fe2, 3,        O3, 1.989, 0.523,0,1.7489501731195423
    DEQWEC,       Fe2, 3,        O1, 1.901, 0.663,0,1.7489501731195423
    DEQWEC,       Fe1, 3,       O14, 2.082, 0.407,0,1.7489501731195423
    DEQWEC,       Fe1, 3,       O12, 2.013, 0.490,0,1.7489501731195423
    DEQWEC,       Fe1, 3,       O10, 2.012, 0.491,0,1.7489501731195423
    DEQWEC,       Fe1, 3,        O4, 2.023, 0.477,0,1.7489501731195423
    DEQWEC,       Fe1, 3,        O2, 1.999, 0.509,0,1.7489501731195423
    DEQWEC,       Fe1, 3,        O1, 1.909, 0.649,0,1.7489501731195423
    ECOPIV,       Fe1, 3,       O4F, 2.018, 0.483,0,1.7489501731195423
    ECOPIV,       Fe1, 3,       O2F, 2.010, 0.494,0,1.7489501731195423
    ECOPIV,       Fe1, 3,        O4, 2.018, 0.483,0,1.7489501731195423
    ECOPIV,       Fe1, 3,        O3, 2.010, 0.494,0,1.7489501731195423
    ECOPIV,       Fe1, 3,        O2, 2.010, 0.494,0,1.7489501731195423
    ECOPIV,       Fe1, 3,       O3F, 2.010, 0.494,0,1.7489501731195423
    LAJGEJ,       Fe1, 3,        O6, 1.988, 0.524,0,1.7489501731195423
    LAJGEJ,       Fe1, 3,        O5, 1.977, 0.540,0,1.7489501731195423
    LAJGEJ,       Fe1, 3,        O4, 1.996, 0.513,0,1.7489501731195423
    LAJGEJ,       Fe1, 3,        O3, 1.998, 0.510,0,1.7489501731195423
    LAJGEJ,       Fe1, 3,        O2, 2.015, 0.487,0,1.7489501731195423
    LAJGEJ,       Fe1, 3,        O1, 1.980, 0.536,0,1.7489501731195423
    JAMGEK,       Fe3, 3,        O7, 1.940, 0.597,0,1.7489501731195423
    JAMGEK,       Fe3, 3,        O3, 1.926, 0.620,0,1.7489501731195423
    JAMGEK,       Fe3, 3,        O2, 1.948, 0.584,0,1.7489501731195423
    JAMGEK,       Fe3, 3,        O1, 2.187, 0.306,0,1.7489501731195423
    JAMGEK,       Fe3, 3,       O10, 1.799, 0.873,0,1.7489501731195423
    JAMGEK,       Fe2, 3,       O11, 1.789, 0.897,0,1.7489501731195423
    JAMGEK,       Fe2, 3,        O5, 1.940, 0.597,0,1.7489501731195423
    JAMGEK,       Fe2, 3,        O4, 1.927, 0.618,0,1.7489501731195423
    JAMGEK,       Fe2, 3,        O2, 1.936, 0.603,0,1.7489501731195423
    JAMGEK,       Fe2, 3,        O1, 2.207, 0.290,0,1.7489501731195423
    JAMGEK,       Fe5, 3,        O6, 1.925, 0.621,0,1.7489501731195423
    JAMGEK,       Fe5, 3,        O5, 1.932, 0.610,0,1.7489501731195423
    JAMGEK,       Fe5, 3,       O13, 1.785, 0.907,0,1.7489501731195423
    JAMGEK,       Fe5, 3,        O9, 1.933, 0.608,0,1.7489501731195423
    JAMGEK,       Fe5, 3,        O1, 2.240, 0.265,0,1.7489501731195423
    JAMGEK,       Fe4, 3,        O7, 1.947, 0.586,0,1.7489501731195423
    JAMGEK,       Fe4, 3,        O9, 1.936, 0.603,0,1.7489501731195423
    JAMGEK,       Fe4, 3,       O12, 1.793, 0.888,0,1.7489501731195423
    JAMGEK,       Fe4, 3,        O1, 2.213, 0.285,0,1.7489501731195423
    JAMGEK,       Fe4, 3,        O8, 1.928, 0.616,0,1.7489501731195423
    RURZOU,       Fe1, 3,        O8, 1.995, 0.514,0,1.7489501731195423
    RURZOU,       Fe1, 3,        O7, 1.994, 0.516,0,1.7489501731195423
    RURZOU,       Fe1, 3,        O4, 1.984, 0.530,0,1.7489501731195423
    RURZOU,       Fe1, 3,        O3, 1.953, 0.576,0,1.7489501731195423
    RURZOU,       Fe1, 3,        O2, 2.000, 0.507,0,1.7489501731195423
    RURZOU,       Fe1, 3,        O1, 2.029, 0.469,0,1.7489501731195423
    RURZOU,       Fe2, 3,       O10, 2.063, 0.428,0,1.7489501731195423
    RURZOU,       Fe2, 3,        O9, 2.082, 0.407,0,1.7489501731195423
    RURZOU,       Fe2, 3,        O6, 1.948, 0.584,0,1.7489501731195423
    RURZOU,       Fe2, 3,        O5, 1.978, 0.538,0,1.7489501731195423
    RURZOU,       Fe2, 3,        O2, 2.010, 0.494,0,1.7489501731195423
    RURZOU,       Fe2, 3,        O1, 1.981, 0.534,0,1.7489501731195423
    YAJGAR,       Fe1, 3,       O1B, 1.995, 0.514,0,1.7489501731195423
    YAJGAR,       Fe1, 3,       O1A, 1.995, 0.514,0,1.7489501731195423
    YAJGAR,       Fe1, 3,       O2B, 2.035, 0.462,0,1.7489501731195423
    YAJGAR,       Fe1, 3,        O2, 2.035, 0.462,0,1.7489501731195423
    YAJGAR,       Fe1, 3,        O1, 1.995, 0.514,0,1.7489501731195423
    YAJGAR,       Fe1, 3,       O2A, 2.035, 0.462,0,1.7489501731195423
    AZOQOV,       Fe1, 3,       O13, 2.001, 0.506,0,1.7489501731195423
    AZOQOV,       Fe1, 3,       O24, 2.038, 0.458,0,1.7489501731195423
    AZOQOV,       Fe1, 3,       O22, 1.956, 0.571,0,1.7489501731195423
    AZOQOV,       Fe1, 3,        O7, 2.091, 0.397,0,1.7489501731195423
