    LEFWOI,       Fe2, 2,        O2, 2.140, 0.301,0,1.6955119165400609
    LEFWOI,       Fe2, 2,        O1, 2.152, 0.291,0,1.6955119165400609
    LEFWOI,       Fe3, 2,       O14, 2.011, 0.426,0,1.6955119165400609
    LEFWOI,       Fe3, 2,       O13, 2.095, 0.340,0,1.6955119165400609
    LEFWOI,       Fe3, 2,        O7, 2.235, 0.233,0,1.6955119165400609
    LEFWOI,       Fe3, 2,        O4, 2.084, 0.350,0,1.6955119165400609
    LEFWOI,       Fe3, 2,        O3, 2.169, 0.278,0,1.6955119165400609
    LEFWOI,       Fe3, 2,        O1, 2.118, 0.319,0,1.6955119165400609
    LEFWOI,       Fe1, 2,       O10, 2.092, 0.342,0,1.6955119165400609
    LEFWOI,       Fe1, 2,        O9, 2.026, 0.409,0,1.6955119165400609
    LEFWOI,       Fe1, 2,        O5, 2.238, 0.231,0,1.6955119165400609
    LEFWOI,       Fe1, 2,        O4, 2.175, 0.274,0,1.6955119165400609
    LEFWOI,       Fe1, 2,        O2, 2.098, 0.337,0,1.6955119165400609
    LEFWOI,       Fe1, 2,        O1, 2.102, 0.333,0,1.6955119165400609
    EJATEO,       Fe1, 2,       O2B, 2.110, 0.326,0,1.6955119165400609
    EJATEO,       Fe1, 2,       O1B, 2.084, 0.350,0,1.6955119165400609
    EJATEO,       Fe1, 2,       O3B, 2.093, 0.342,0,1.6955119165400609
    EJATEO,       Fe1, 2,        O3, 2.093, 0.342,0,1.6955119165400609
    EJATEO,       Fe1, 2,        O2, 2.110, 0.326,0,1.6955119165400609
    EJATEO,       Fe1, 2,        O1, 2.084, 0.350,0,1.6955119165400609
    LEFWOI,       Fe4, 2,       O16, 2.098, 0.337,0,1.6955119165400609
    LEFWOI,       Fe4, 2,       O15, 2.013, 0.424,0,1.6955119165400609
    LEFWOI,       Fe4, 2,        O8, 2.256, 0.220,0,1.6955119165400609
    LEFWOI,       Fe4, 2,        O4, 2.121, 0.317,0,1.6955119165400609
    LEFWOI,       Fe4, 2,        O3, 2.109, 0.327,0,1.6955119165400609
    LEFWOI,       Fe4, 2,        O2, 2.156, 0.288,0,1.6955119165400609
    HONLOM,       Fe2, 2,       O10, 2.033, 0.402,0,1.6955119165400609
    HONLOM,       Fe2, 2,        O7, 2.028, 0.407,0,1.6955119165400609
    HONLOM,       Fe2, 2,        O6, 2.020, 0.416,0,1.6955119165400609
    HONLOM,       Fe2, 2,        O5, 2.031, 0.404,0,1.6955119165400609
    HONLOM,       Fe2, 2,        O3, 2.037, 0.397,0,1.6955119165400609
    HONLOM,       Fe2, 2,        O1, 1.915, 0.553,0,1.6955119165400609
    JIVYET,       Fe1, 2,        O6, 2.060, 0.373,0,1.6955119165400609
    JIVYET,       Fe1, 2,        O4, 2.098, 0.337,0,1.6955119165400609
    JIVYET,       Fe1, 2,        O2, 2.082, 0.352,0,1.6955119165400609
    JIVYET,       Fe1, 2,        O9, 2.069, 0.364,0,1.6955119165400609
    JIVYET,       Fe1, 2,        O8, 2.083, 0.351,0,1.6955119165400609
    CIPCOT,       Fe1, 2,       O16, 2.076, 0.358,0,1.6955119165400609
    CIPCOT,       Fe1, 2,       O15, 2.111, 0.325,0,1.6955119165400609
    CIPCOT,       Fe1, 2,       O14, 2.088, 0.346,0,1.6955119165400609
    CIPCOT,       Fe1, 2,       O13, 2.171, 0.277,0,1.6955119165400609
    CIPCOT,       Fe1, 2,       O12, 2.122, 0.316,0,1.6955119165400609
    CIPCOT,       Fe1, 2,       O11, 2.127, 0.312,0,1.6955119165400609
    CIPCOT,       Fe2, 2,       O26, 2.117, 0.320,0,1.6955119165400609
    CIPCOT,       Fe2, 2,       O24, 2.133, 0.307,0,1.6955119165400609
    CIPCOT,       Fe2, 2,       O25, 2.159, 0.286,0,1.6955119165400609
    CIPCOT,       Fe2, 2,       O22, 2.117, 0.320,0,1.6955119165400609
    CIPCOT,       Fe2, 2,       O23, 2.137, 0.303,0,1.6955119165400609
    CIPCOT,       Fe2, 2,       O21, 2.071, 0.362,0,1.6955119165400609
    LICFIN,       Fe1, 2,       O7A, 2.097, 0.338,0,1.6955119165400609
    LICFIN,       Fe1, 2,        O9, 2.134, 0.306,0,1.6955119165400609
    LICFIN,       Fe1, 2,        O8, 2.144, 0.298,0,1.6955119165400609
    LICFIN,       Fe1, 2,        O7, 2.097, 0.338,0,1.6955119165400609
    LICFIN,       Fe1, 2,       O8A, 2.144, 0.298,0,1.6955119165400609
    LICFIN,       Fe1, 2,       O9A, 2.134, 0.306,0,1.6955119165400609
    PEYYUN,       Fe1, 2,        O6, 2.109, 0.327,0,1.6955119165400609
    PEYYUN,       Fe1, 2,        O5, 2.066, 0.367,0,1.6955119165400609
    PEYYUN,       Fe1, 2,        O4, 2.167, 0.280,0,1.6955119165400609
    PEYYUN,       Fe1, 2,        O3, 2.096, 0.339,0,1.6955119165400609
    PEYYUN,       Fe1, 2,        O2, 2.070, 0.363,0,1.6955119165400609
    PEYYUN,       Fe1, 2,        O1, 2.136, 0.304,0,1.6955119165400609
    JOHCOZ,       Fe1, 2,       O1A, 2.168, 0.279,0,1.6955119165400609
    JOHCOZ,       Fe1, 2,       O3A, 2.107, 0.329,0,1.6955119165400609
    JOHCOZ,       Fe1, 2,        O3, 2.107, 0.329,0,1.6955119165400609
    JOHCOZ,       Fe1, 2,        O2, 2.118, 0.319,0,1.6955119165400609
    JOHCOZ,       Fe1, 2,        O1, 2.168, 0.279,0,1.6955119165400609
    JOHCOZ,       Fe1, 2,       O2A, 2.118, 0.319,0,1.6955119165400609
    UCETAX,       Fe1, 2,        O6, 2.135, 0.305,0,1.6955119165400609
    UCETAX,       Fe1, 2,        O5, 2.117, 0.320,0,1.6955119165400609
    UCETAX,       Fe1, 2,        O4, 2.105, 0.331,0,1.6955119165400609
    UCETAX,       Fe1, 2,        O3, 2.120, 0.318,0,1.6955119165400609
    UCETAX,       Fe1, 2,        O2, 2.146, 0.296,0,1.6955119165400609
    UCETAX,       Fe1, 2,        O1, 2.136, 0.304,0,1.6955119165400609
    HERNOH,       Fe1, 2,       O1B, 2.183, 0.268,0,1.6955119165400609
    HERNOH,       Fe1, 2,       O1A, 2.183, 0.268,0,1.6955119165400609
